RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.055478599999999996,64.0,5.0,9.2,0.0,22.0,11.0,1.0,6.0,0.0,1
1.0228559000000002,58.0,0.0,589.1,9780.2,4.0,1.0,1.0,0.0,0.0,1
0.101396,57.0,1.0,0.0,28497.6,4.0,9.0,1.0,4.0,0.9,1
0.0291649,35.0,6.0,9.3,10290.1,12.0,13.0,3.0,7.0,0.0,1
0.031778100000000004,56.0,0.0,2874.5,4191.0,22.0,0.0,2.0,0.0,0.0,0
0.0,34.0,0.0,0.3,5892.6,9.0,0.0,0.0,0.0,0.0,0
0.0,59.0,0.0,0.0,3953.8,10.0,0.0,2.0,0.0,0.5,0
0.0,39.0,2.0,9.2,5731.9,3.0,10.0,2.0,5.0,2.9,1
0.2885745,32.0,0.0,717.3,6511.6,8.0,0.0,0.0,0.0,1.2,0
0.0308421,67.0,9.0,9.2,2705.6,21.0,13.0,0.0,8.0,0.0,1
0.0,49.0,5.0,9.2,1765.2,9.0,12.0,2.0,6.0,1.1,1
0.16994879999999998,45.0,0.0,14.4,6917.5,8.0,0.0,2.0,0.0,2.1,0
0.029477,62.0,0.0,0.0,7368.8,1.0,0.0,0.0,0.0,0.0,0
0.0,45.0,0.0,0.0,6632.8,4.0,0.0,1.0,0.0,0.0,0
0.052975699999999994,66.0,0.0,12.5,9297.1,11.0,0.0,2.0,0.0,2.1,0
0.1072003,50.0,0.0,0.0,26793.6,7.0,3.0,1.0,0.0,0.0,1
0.6309210999999999,52.0,1.0,0.1,7581.0,7.0,11.0,1.0,6.0,0.0,1
0.1339948,43.0,1.0,9.2,6787.2,8.0,11.0,1.0,5.0,0.0,1
0.29104109999999994,33.0,0.0,7.9,45191.5,11.0,0.0,3.0,0.0,0.0,0
0.28499990000000003,44.0,0.0,12.5,423.5,4.0,0.0,1.0,0.0,2.1,0
0.1065298,63.0,0.0,9.2,17095.9,7.0,8.0,1.0,3.0,1.8,1
3.9760709000000003,42.0,11.0,11.0,2974.7,1.0,16.0,0.0,9.0,1.3,1
0.0787843,43.0,0.0,526.4,8634.9,1.0,0.0,0.0,0.0,0.0,0
0.0264911,67.0,8.0,11.0,3553.8,13.0,13.0,0.0,7.0,0.0,1
0.2012878,38.0,0.0,0.4,1994.0,8.0,0.0,2.0,0.0,2.2,0
0.0,57.0,0.0,9.2,9182.5,10.0,7.0,2.0,3.0,3.0,1
0.0802674,48.0,3.0,0.3,14278.7,14.0,10.0,2.0,5.0,0.0,1
0.0111781,46.0,1.0,9.2,6590.2,9.0,9.0,0.0,4.0,1.1,1
0.0,59.0,0.0,0.0,2201.2,1.0,0.0,0.0,0.0,0.0,0
0.0,31.0,0.0,0.0,6381.5,7.0,0.0,0.0,0.0,4.8,0
0.0659429,68.0,10.0,1999.1,5027.1,16.0,15.0,2.0,9.0,0.0,1
0.0058863,28.0,0.0,0.0,504.2,2.0,0.0,0.0,0.0,0.0,0
0.0,52.0,0.0,0.0,14080.3,6.0,0.0,0.0,0.0,0.6,0
0.0,48.0,0.0,825.2,5918.1,8.0,0.0,0.0,0.0,4.9,0
0.0,46.0,0.0,2220.4,6058.8,6.0,0.0,2.0,0.0,0.5,0
0.0,32.0,0.0,9.2,4344.2,4.0,4.0,0.0,0.0,0.0,1
0.019968,57.0,0.0,1571.9,6447.2,10.0,4.0,2.0,0.0,0.0,1
0.0,51.0,0.0,1793.9,4486.3,7.0,0.0,1.0,0.0,0.0,0
0.9673404000000001,54.0,2.0,0.0,5609.9,0.0,11.0,0.0,5.0,0.0,1
0.1263003,62.0,1.0,9.2,7758.3,6.0,10.0,0.0,4.0,0.0,1
0.0,39.0,0.0,9.7,707.8,8.0,0.0,0.0,0.0,0.0,0
0.26604809999999995,43.0,1.0,1808.0,6700.0,3.0,10.0,1.0,4.0,0.0,1
0.11072160000000002,41.0,0.0,9.2,9236.8,10.0,0.0,2.0,0.0,0.0,0
0.0,33.0,0.0,0.0,10101.8,2.0,0.0,0.0,0.0,0.0,0
0.037553699999999995,43.0,0.0,9.2,3356.1,9.0,6.0,0.0,1.0,4.0,1
0.2200563,47.0,9.0,9.2,3985.8,3.0,15.0,0.0,8.0,4.0,1
0.0243291,42.0,11.0,9.2,670.1,6.0,16.0,1.0,10.0,0.0,1
0.5802593,54.0,0.0,0.1,5154.2,16.0,6.0,0.0,2.0,0.0,1
0.48756869999999997,63.0,0.0,16.6,6114.4,12.0,0.0,1.0,0.0,1.3,0
0.0247974,68.0,7.0,9.2,3681.5,3.0,14.0,0.0,7.0,0.0,1
0.1934741,32.0,0.0,0.0,2495.9,7.0,0.0,0.0,0.0,2.9,0
0.2667012,40.0,0.0,9.2,2278.9,13.0,6.0,0.0,2.0,4.0,1
0.0,64.0,0.0,9.2,1960.6,4.0,7.0,0.0,2.0,1.0,1
0.0,48.0,0.0,15.3,3104.8,2.0,0.0,0.0,0.0,0.0,0
0.060201599999999994,71.0,0.0,9.2,11111.1,16.0,4.0,1.0,0.0,0.0,1
0.306627,71.0,3.0,9.2,6029.0,12.0,10.0,3.0,5.0,0.0,1
0.19937760000000002,45.0,2.0,9.2,7353.2,16.0,8.0,2.0,4.0,4.0,1
