RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.0554786,64.0,5.0,9.2,0.0,22.0,11.0,1.0,6.0,0.0,1.0
1.0228559,58.0,0.0,589.1,9780.2,4.0,1.0,1.0,0.0,0.0,0.788
0.101396,57.0,1.0,0.0,28497.6,4.0,9.0,1.0,4.0,0.9,0.998
0.0291649,35.0,6.0,9.3,10290.1,12.0,13.0,3.0,7.0,0.0,1.0
0.0317781,56.0,0.0,2874.5,4191.0,22.0,0.0,2.0,0.0,0.0,0.163
0.0,34.0,0.0,0.3,5892.6,9.0,0.0,0.0,0.0,0.0,0.173
0.0,59.0,0.0,0.0,3953.8,10.0,0.0,2.0,0.0,0.5,0.153
0.0,39.0,2.0,9.2,5731.9,3.0,10.0,2.0,5.0,2.9,1.0
0.2885745,32.0,0.0,717.3,6511.6,8.0,0.0,0.0,0.0,1.2,0.243
0.0308421,67.0,9.0,9.2,2705.6,21.0,13.0,0.0,8.0,0.0,1.0
0.0,49.0,5.0,9.2,1765.2,9.0,12.0,2.0,6.0,1.1,1.0
0.1699488,45.0,0.0,14.4,6917.5,8.0,0.0,2.0,0.0,2.1,0.205
0.029477,62.0,0.0,0.0,7368.8,1.0,0.0,0.0,0.0,0.0,0.099
0.0,45.0,0.0,0.0,6632.8,4.0,0.0,1.0,0.0,0.0,0.135
0.0529757,66.0,0.0,12.5,9297.1,11.0,0.0,2.0,0.0,2.1,0.153
0.1072003,50.0,0.0,0.0,26793.6,7.0,3.0,1.0,0.0,0.0,0.824
0.6309211,52.0,1.0,0.1,7581.0,7.0,11.0,1.0,6.0,0.0,1.0
0.1339948,43.0,1.0,9.2,6787.2,8.0,11.0,1.0,5.0,0.0,1.0
0.2910411,33.0,0.0,7.9,45191.5,11.0,0.0,3.0,0.0,0.0,0.193
0.2849999,44.0,0.0,12.5,423.5,4.0,0.0,1.0,0.0,2.1,0.231
0.1065298,63.0,0.0,9.2,17095.9,7.0,8.0,1.0,3.0,1.8,0.994
3.9760709,42.0,11.0,11.0,2974.7,1.0,16.0,0.0,9.0,1.3,1.0
0.0787843,43.0,0.0,526.4,8634.9,1.0,0.0,0.0,0.0,0.0,0.118
0.0264911,67.0,8.0,11.0,3553.8,13.0,13.0,0.0,7.0,0.0,1.0
