age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27.0,Private,2.0,9.0,Separated,Service,Unmarried,White,Female,32126.0,0.0,50.0,1.0,0.98
19.0,Private,3.0,10.0,NotMarried,Sales,Not-in-family,White,Female,29459.0,0.0,35.0,1.0,0.972
40.0,Government,4.0,13.0,Widowed,Professional,Wife,White,Female,0.0,0.0,14.0,1.0,0.05
19.0,Private,2.0,9.0,NotMarried,Blue-Collar,Own-child,White,Male,44318.0,0.0,16.0,1.0,0.991
33.0,Private,4.0,13.0,Widowed,Professional,Wife,White,Female,0.0,449.0,39.0,1.0,0.102
41.0,Private,2.0,9.0,Married,Blue-Collar,Husband,White,Male,81734.0,0.0,45.0,1.0,0.998
23.0,Private,2.0,9.0,Married,Blue-Collar,Own-child,White,Female,96709.0,1425.0,41.0,1.0,0.999
24.0,Private,3.0,12.0,NotMarried,Professional,Not-in-family,White,Male,31674.0,0.0,13.0,1.0,0.984
24.0,Private,4.0,13.0,NotMarried,Admin,Not-in-family,White,Female,89090.0,0.0,39.0,1.0,0.999
22.0,Private,1.0,6.0,NotMarried,Blue-Collar,Not-in-family,Amer-Indian-Eskimo,Male,24197.0,0.0,84.0,1.0,0.91
27.0,Private,6.0,15.0,Widowed,Professional,Husband,White,Male,0.0,0.0,59.0,1.0,0.081
45.0,Private,2.0,9.0,NotMarried,White-Collar,Husband,White,Male,0.0,0.0,60.0,1.0,0.081
40.0,Private,4.0,13.0,NotMarried,White-Collar,Husband,Asian-Pac-Islander,Male,0.0,0.0,39.0,0.0,0.05
43.0,Private,4.0,13.0,NotMarried,Sales,Husband,White,Male,0.0,0.0,60.0,1.0,0.159
35.0,Self-Employed,3.0,10.0,Married,Sales,Husband,White,Male,69464.0,772.0,49.0,1.0,0.996
32.0,Private,2.0,9.0,Separated,Service,Unmarried,Amer-Indian-Eskimo,Female,41461.0,0.0,39.0,1.0,0.984
41.0,Government,2.0,9.0,NotMarried,White-Collar,Wife,White,Female,0.0,0.0,33.0,1.0,0.037
66.0,Private,2.0,8.0,Separated,White-Collar,Husband,White,Male,0.0,0.0,36.0,1.0,0.076
31.0,Government,2.0,9.0,NotMarried,Blue-Collar,Own-child,White,Male,32975.0,0.0,40.0,1.0,0.988
27.0,Government,4.0,13.0,NotMarried,Other,Not-in-family,White,Male,60527.0,0.0,48.0,1.0,0.996
30.0,Private,4.0,13.0,Widowed,Blue-Collar,Husband,Black,Male,84.0,0.0,81.0,1.0,0.02
57.0,Private,3.0,12.0,Widowed,Admin,Not-in-family,White,Female,28398.0,0.0,35.0,1.0,0.98
40.0,Private,2.0,9.0,NotMarried,Service,Not-in-family,White,Male,14727.0,0.0,40.0,1.0,0.872
31.0,Private,2.0,9.0,Separated,Blue-Collar,Not-in-family,White,Male,28739.0,0.0,40.0,1.0,0.981
23.0,Private,1.0,4.0,NotMarried,Blue-Collar,Own-child,White,Male,36798.0,0.0,41.0,1.0,0.984
42.0,Private,2.0,9.0,Separated,Admin,Unmarried,White,Female,31455.0,0.0,35.0,0.0,0.972
60.0,Private,2.0,9.0,Married,Sales,Husband,White,Male,85238.0,0.0,40.0,1.0,0.998
52.0,Government,5.0,14.0,NotMarried,White-Collar,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,51.0,1.0,0.161
20.0,Private,3.0,10.0,NotMarried,Professional,Own-child,White,Female,29665.0,0.0,39.0,1.0,0.971
27.0,Private,2.0,9.0,NotMarried,Blue-Collar,Own-child,White,Male,29017.0,0.0,41.0,1.0,0.98
28.0,Private,2.0,9.0,Married,Blue-Collar,Husband,White,Male,89860.0,2323.0,46.0,1.0,0.999
29.0,Government,4.0,13.0,NotMarried,Blue-Collar,Not-in-family,White,Male,26472.0,0.0,41.0,1.0,0.986
22.0,Private,4.0,13.0,NotMarried,Blue-Collar,Own-child,White,Male,25203.0,0.0,40.0,1.0,0.973
42.0,Private,4.0,13.0,NotMarried,Professional,Not-in-family,White,Female,10782.0,1566.0,38.0,1.0,0.924
61.0,Self-Employed,6.0,15.0,Married,Service,Husband,White,Male,0.0,0.0,50.0,1.0,0.326
28.0,Private,2.0,9.0,Married,Sales,Husband,White,Male,16633.0,0.0,40.0,1.0,0.969
79.0,Private,3.0,10.0,Married,Admin,Husband,White,Male,26218.0,0.0,20.0,1.0,0.985
38.0,Private,2.0,9.0,Married,Blue-Collar,Husband,White,Male,18.0,0.0,40.0,1.0,0.215
29.0,Private,1.0,8.0,NotMarried,Service,Not-in-family,Other,Male,27723.0,0.0,39.0,1.0,0.978
59.0,Private,1.0,4.0,Separated,Service,Not-in-family,White,Male,40137.0,0.0,40.0,1.0,0.986
56.0,Private,1.0,8.0,Married,Service,Wife,White,Female,24447.0,0.0,23.0,1.0,0.98
20.0,Private,3.0,12.0,NotMarried,Service,Own-child,White,Female,31804.0,2202.0,18.0,1.0,0.981
44.0,Private,2.0,9.0,Married,Blue-Collar,Husband,White,Male,44053.0,0.0,64.0,1.0,0.994
47.0,Private,2.0,9.0,Married,Blue-Collar,Husband,White,Male,7778.0,0.0,48.0,1.0,0.853
59.0,Private,2.0,9.0,Married,Other,Husband,White,Male,29429.0,0.0,23.0,1.0,0.982
17.0,Private,4.0,13.0,Separated,White-Collar,Not-in-family,White,Male,0.0,0.0,51.0,1.0,0.04
21.0,Private,2.0,9.0,Separated,Blue-Collar,Other-relative,White,Male,42267.0,0.0,40.0,1.0,0.987
68.0,Private,3.0,11.0,Widowed,White-Collar,Not-in-family,White,Female,19920.0,0.0,41.0,1.0,0.966
