age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
17.0,Other/Unknown,2.0,9.0,Separated,White-Collar,Other-relative,Black,Female,0.0,0.0,49.939998626708984,1.0,0.0
17.0,Other/Unknown,3.0,10.0,NotMarried,Military,Own-child,Black,Female,0.0,0.0,2.6500000953674316,1.0,0.0
17.0,Self-Employed,4.0,13.0,Married,Blue-Collar,Not-in-family,Black,Female,8884.08984375,0.0,15.0,1.0,0.0
17.469999313354492,Other/Unknown,2.0,9.0,NotMarried,Service,Wife,Black,Male,868.9099731445312,0.0,15.989999771118164,1.0,0.0
17.0,Other/Unknown,4.0,13.0,Married,Blue-Collar,Not-in-family,Black,Female,0.0,1886.6600341796875,1.0,1.0,0.0
35.45000076293945,Other/Unknown,2.0,9.0,Married,Service,Unmarried,Black,Male,6154.60986328125,0.0,44.9900016784668,1.0,0.0
19.709999084472656,Other/Unknown,2.0,9.0,Married,Service,Wife,Black,Female,3635.6298828125,0.0,40.0,1.0,0.0
32.900001525878906,Other/Unknown,3.0,12.0,NotMarried,Blue-Collar,Own-child,Black,Male,24784.310546875,0.0,11.979999542236328,1.0,1.0
20.290000915527344,Other/Unknown,4.0,13.0,NotMarried,Other,Own-child,Black,Female,0.0,0.0,11.4399995803833,1.0,0.0
17.0,Other/Unknown,1.0,6.0,NotMarried,Service,Own-child,Asian-Pac-Islander,Male,0.0,0.0,54.349998474121094,1.0,0.0
17.0,Other/Unknown,6.0,15.0,Married,Blue-Collar,Unmarried,Black,Male,32687.919921875,0.0,1.0,1.0,1.0
17.010000228881836,Other/Unknown,2.0,9.0,Married,Professional,Unmarried,Black,Male,35235.640625,0.019999999552965164,5.78000020980835,1.0,1.0
17.0,Other/Unknown,4.0,13.0,Married,Professional,Unmarried,Amer-Indian-Eskimo,Male,28391.859375,0.0,1.0,0.0,1.0
23.75,Other/Unknown,4.0,13.0,Married,Military,Unmarried,Black,Male,31108.25,0.0,1.0,1.0,1.0
32.15999984741211,Government,3.0,10.0,Married,Military,Unmarried,Black,Male,4597.509765625,0.0,50.02000045776367,1.0,0.0
17.0,Other/Unknown,2.0,9.0,Separated,White-Collar,Other-relative,Asian-Pac-Islander,Female,58.189998626708984,0.0,40.0,1.0,0.0
17.0,Self-Employed,2.0,9.0,Married,Professional,Not-in-family,Black,Female,9254.240234375,0.0,32.0,1.0,0.0
